I,O,R,W,Econ,Avg,SR,4W,5W,4s,6s,Dots,Training module
4,25,129,6,5.16,21.5,25,0,1,16,3,98,Tactics and Strategy
9,77.3,426,10,5.5,42.6,46.5,0,0,46,10,266,Technical Skills
13,117.4,438,21,3.72,20.86,33.62,1,0,44,2,491,Precision and Consistency
4,36.1,145,8,4.01,18.12,27.12,1,0,14,0,141,Tactics and Strategy
12,92.5,409,18,4.41,22.72,30.94,1,1,42,4,347,Wicket-taking and Attack
6,52.2,217,12,4.15,18.08,26.17,0,1,23,0,209,Tactics and Strategy
2,10,73,3,7.3,24.33,20,0,0,9,2,34,Technical Skills
2,18,96,3,5.33,32,36,0,0,11,0,65,Tactics and Strategy
12,49.2,258,5,5.23,51.6,59.2,0,0,20,2,151,Tactics and Strategy
15,129,751,28,5.82,26.82,27.64,3,0,55,22,340,Technical Skills
3,24.5,133,1,5.36,133,149,0,0,16,2,91,Tactics and Strategy
3,24,146,4,6.08,36.5,36,0,0,13,7,81,Technical Skills
3,28,112,4,4,28,42,0,0,9,2,116,Tactics and Strategy
4,14,86,4,6.14,21.5,21,0,0,11,1,39,Technical Skills
12,63,290,6,4.6,48.33,63,0,0,30,3,246,Tactics and Strategy
15,121.3,564,20,4.64,28.2,36.45,0,0,37,14,424,Technical Skills
5,45,199,3,4.42,66.33,90,0,0,8,5,150,Tactics and Strategy
9,68,269,9,3.96,29.89,45.33,0,0,19,6,251,Tactics and Strategy
3,25,149,2,5.96,74.5,75,0,0,13,3,93,Technical Skills
4,40,215,6,5.38,35.83,40,0,0,24,4,141,Tactics and Strategy
17,95.5,491,19,5.12,25.84,30.26,0,0,49,4,305,Technical Skills
14,100.1,576,23,5.75,25.04,26.13,1,0,46,14,328,Technical Skills
6,45.4,259,6,5.67,43.17,45.67,1,0,26,3,129,Technical Skills
1,10,42,2,4.2,21,30,0,0,2,1,31,Tactics and Strategy
6,39.2,199,5,5.06,39.8,47.2,0,0,24,1,141,Tactics and Strategy
4,5.1,38,1,7.35,38,31,0,0,3,1,9,Technical Skills
4,29.1,170,6,5.83,28.33,29.17,0,0,20,2,94,Technical Skills
6,46.2,211,6,4.55,35.17,46.33,0,0,14,3,144,Tactics and Strategy
2,5,46,0,9.2,0,0,0,0,5,2,10,Technical Skills
8,57,198,16,3.47,12.38,21.38,0,1,15,2,227,Wicket-taking and Attack
5,16,104,3,6.5,34.67,32,0,0,9,1,38,Technical Skills
2,3,20,1,6.67,20,18,0,0,2,0,6,Technical Skills
12,99,438,19,4.42,23.05,31.26,0,1,45,4,358,Wicket-taking and Attack
1,7,38,1,5.43,38,42,0,0,6,0,23,Tactics and Strategy
